yearweek,campaign_id,campaign_name,currency,impressions,ctr,cpc,cpm,cost,media,clicks,cost_convertion,store_group_id,tabla_medio,name_storeGroup,campaign,ISOweek,sales
202208,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,15668,0.0089,0.66,5.81,91.09,Facebook,139,4.34,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202210,108
202207,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,16252,0.008,0.7,5.59,90.82,Facebook,130,3.13,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202209,98
202206,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,14911,0.0103,0.59,6.1,90.95,Facebook,153,2.22,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202208,110
202205,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,16467,0.0114,0.48,5.53,90.98,Facebook,188,2.68,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202207,112
202204,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,14762,0.0119,0.52,6.16,90.93,Facebook,176,1.47,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202206,105
202203,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,16012,0.0108,0.53,5.68,91.0,Facebook,173,1.72,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202205,135
202202,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,17495,0.0107,0.48,5.2,90.98,Facebook,188,2.07,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202204,122
202201,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,19670,0.011,0.42,4.63,91.04,Facebook,216,1.34,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202203,133
202218,23849161841220106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP2,USD,12606,0.0067,1.08,7.22,91.06,Facebook,84,3.96,20,Facebook Weekly,LFX_CALIUP2,LFX_STAGEI,202220,61
202225,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,11371,0.0122,0.76,9.26,105.31,Facebook,139,2.93,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202227,123
202224,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,12115,0.0103,0.84,8.66,104.92,Facebook,125,2.33,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202226,133
202223,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,13555,0.0109,0.71,7.73,104.77,Facebook,148,3.49,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202225,111
202222,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,21255,0.0097,0.8,7.8,165.8,Facebook,207,2.1,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202224,143
202221,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,30119,0.0097,0.79,7.65,230.37,Facebook,293,2.28,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202223,130
202220,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,22647,0.0103,0.79,8.13,184.15,Facebook,233,3.47,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202222,105
202219,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,18863,0.0096,0.73,7.03,132.57,Facebook,181,2.21,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202221,131
202217,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,16588,0.0105,0.77,8.03,133.24,Facebook,174,2.78,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202219,107
202216,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,17316,0.0102,0.76,7.69,133.13,Facebook,176,5.12,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202218,159
202215,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,18539,0.0088,0.81,7.15,132.6,Facebook,163,3.4,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202217,147
202214,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,20022,0.0085,0.78,6.66,133.3,Facebook,171,3.92,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202216,171
202213,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,18711,0.0107,0.67,7.15,133.74,Facebook,201,2.52,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202215,143
202212,23849150233590106,Bra_US_ES_Facebook_Prospecting_LeonFlax_Branding_CPL_CALIUP1,USD,17499,0.0099,0.77,7.58,132.6,Facebook,173,3.31,21,Facebook Weekly,LFX_CALIUP1,LFX_STAGEI,202214,160
