store_group_id,ISOweek,sales,name,campaign,tabla_medio,yearweek,cost_campaign
136,202120,879,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202120,820,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202120,1274,JAL_CALI>1,JAL_STAGEII,,,
77,202120,136,JAL_CENTER>0350,JAL_STAGEII,,,
141,202120,261,JAL_NAC,JAL_STAGEIV,,,
98,202120,291,JAL_WEST,JAL_STAGEIII,,,
76,202120,659,JAL_WEST>0350,JAL_STAGEII,,,
71,202120,111,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202120,238,JAL_EAST>0350,JAL_STAGEII,,,
74,202120,215,JAL_WINIL,JAL_STAGEII,,,
137,202120,397,JAL_TEXAS,JAL_STAGEIV,,,
97,202120,444,JAL_TEXAS,JAL_STAGEIII,,,
72,202120,658,JAL_TEXAS>1,JAL_STAGEII,,,
143,202121,1655,JAL_AWARENESS,JAL_STAGEIV,,,
118,202121,1674,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202121,345,JAL_FLORIDA,JAL_STAGEII,,,
136,202121,808,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202121,769,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202121,1215,JAL_CALI>1,JAL_STAGEII,,,
77,202121,118,JAL_CENTER>0350,JAL_STAGEII,,,
141,202121,282,JAL_NAC,JAL_STAGEIV,,,
98,202121,323,JAL_WEST,JAL_STAGEIII,,,
76,202121,735,JAL_WEST>0350,JAL_STAGEII,,,
71,202121,125,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202121,221,JAL_EAST>0350,JAL_STAGEII,,,
74,202121,174,JAL_WINIL,JAL_STAGEII,,,
137,202121,393,JAL_TEXAS,JAL_STAGEIV,,,
97,202121,440,JAL_TEXAS,JAL_STAGEIII,,,
72,202121,657,JAL_TEXAS>1,JAL_STAGEII,,,
143,202122,1655,JAL_AWARENESS,JAL_STAGEIV,,,
118,202122,1674,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202122,345,JAL_FLORIDA,JAL_STAGEII,,,
136,202122,808,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202122,769,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202122,1215,JAL_CALI>1,JAL_STAGEII,,,
77,202122,118,JAL_CENTER>0350,JAL_STAGEII,,,
141,202122,282,JAL_NAC,JAL_STAGEIV,,,
98,202122,323,JAL_WEST,JAL_STAGEIII,,,
76,202122,735,JAL_WEST>0350,JAL_STAGEII,,,
71,202122,125,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202122,221,JAL_EAST>0350,JAL_STAGEII,,,
74,202122,174,JAL_WINIL,JAL_STAGEII,,,
137,202122,393,JAL_TEXAS,JAL_STAGEIV,,,
97,202122,440,JAL_TEXAS,JAL_STAGEIII,,,
72,202122,657,JAL_TEXAS>1,JAL_STAGEII,,,
143,202123,1630,JAL_AWARENESS,JAL_STAGEIV,,,
118,202123,1672,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202123,346,JAL_FLORIDA,JAL_STAGEII,,,
136,202123,907,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202123,872,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202123,1297,JAL_CALI>1,JAL_STAGEII,,,
77,202123,154,JAL_CENTER>0350,JAL_STAGEII,,,
141,202123,298,JAL_NAC,JAL_STAGEIV,,,
98,202123,315,JAL_WEST,JAL_STAGEIII,,,
76,202123,694,JAL_WEST>0350,JAL_STAGEII,,,
71,202123,108,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202123,206,JAL_EAST>0350,JAL_STAGEII,,,
74,202123,186,JAL_WINIL,JAL_STAGEII,,,
137,202123,396,JAL_TEXAS,JAL_STAGEIV,,,
97,202123,430,JAL_TEXAS,JAL_STAGEIII,,,
72,202123,638,JAL_TEXAS>1,JAL_STAGEII,,,
143,202124,1504,JAL_AWARENESS,JAL_STAGEIV,,,
118,202124,1534,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202124,312,JAL_FLORIDA,JAL_STAGEII,,,
136,202124,743,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202124,692,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202124,1117,JAL_CALI>1,JAL_STAGEII,,,
77,202124,121,JAL_CENTER>0350,JAL_STAGEII,,,
141,202124,229,JAL_NAC,JAL_STAGEIV,,,
98,202124,278,JAL_WEST,JAL_STAGEIII,,,
76,202124,618,JAL_WEST>0350,JAL_STAGEII,,,
71,202124,110,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202124,205,JAL_EAST>0350,JAL_STAGEII,,,
74,202124,205,JAL_WINIL,JAL_STAGEII,,,
137,202124,396,JAL_TEXAS,JAL_STAGEIV,,,
97,202124,422,JAL_TEXAS,JAL_STAGEIII,,,
72,202124,638,JAL_TEXAS>1,JAL_STAGEII,,,
143,202125,1467,JAL_AWARENESS,JAL_STAGEIV,,,
118,202125,1485,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202125,330,JAL_FLORIDA,JAL_STAGEII,,,
136,202125,679,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202125,647,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202125,1015,JAL_CALI>1,JAL_STAGEII,,,
77,202125,117,JAL_CENTER>0350,JAL_STAGEII,,,
141,202125,188,JAL_NAC,JAL_STAGEIV,,,
98,202125,215,JAL_WEST,JAL_STAGEIII,,,
76,202125,548,JAL_WEST>0350,JAL_STAGEII,,,
71,202125,107,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202125,206,JAL_EAST>0350,JAL_STAGEII,,,
74,202125,141,JAL_WINIL,JAL_STAGEII,,,
137,202125,393,JAL_TEXAS,JAL_STAGEIV,,,
97,202125,425,JAL_TEXAS,JAL_STAGEIII,,,
72,202125,621,JAL_TEXAS>1,JAL_STAGEII,,,
143,202126,1594,JAL_AWARENESS,JAL_STAGEIV,,,
118,202126,1582,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202126,352,JAL_FLORIDA,JAL_STAGEII,,,
136,202126,744,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202126,731,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202126,1073,JAL_CALI>1,JAL_STAGEII,,,
77,202126,135,JAL_CENTER>0350,JAL_STAGEII,,,
141,202126,240,JAL_NAC,JAL_STAGEIV,,,
98,202126,258,JAL_WEST,JAL_STAGEIII,,,
76,202126,593,JAL_WEST>0350,JAL_STAGEII,,,
71,202126,105,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202126,220,JAL_EAST>0350,JAL_STAGEII,,,
74,202126,219,JAL_WINIL,JAL_STAGEII,,,
137,202126,400,JAL_TEXAS,JAL_STAGEIV,,,
97,202126,435,JAL_TEXAS,JAL_STAGEIII,,,
72,202126,656,JAL_TEXAS>1,JAL_STAGEII,,,
143,202127,1443,JAL_AWARENESS,JAL_STAGEIV,,,
118,202127,1501,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202127,318,JAL_FLORIDA,JAL_STAGEII,,,
136,202127,771,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202127,730,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202127,1106,JAL_CALI>1,JAL_STAGEII,,,
77,202127,148,JAL_CENTER>0350,JAL_STAGEII,,,
141,202127,271,JAL_NAC,JAL_STAGEIV,,,
98,202127,315,JAL_WEST,JAL_STAGEIII,,,
76,202127,643,JAL_WEST>0350,JAL_STAGEII,,,
71,202127,101,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202127,180,JAL_EAST>0350,JAL_STAGEII,,,
74,202127,188,JAL_WINIL,JAL_STAGEII,,,
137,202127,360,JAL_TEXAS,JAL_STAGEIV,,,
97,202127,380,JAL_TEXAS,JAL_STAGEIII,,,
72,202127,596,JAL_TEXAS>1,JAL_STAGEII,,,
143,202128,1574,JAL_AWARENESS,JAL_STAGEIV,,,
118,202128,1547,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202128,265,JAL_FLORIDA,JAL_STAGEII,,,
136,202128,781,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202128,745,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202128,1205,JAL_CALI>1,JAL_STAGEII,,,
77,202128,146,JAL_CENTER>0350,JAL_STAGEII,,,
141,202128,235,JAL_NAC,JAL_STAGEIV,,,
98,202128,255,JAL_WEST,JAL_STAGEIII,,,
76,202128,644,JAL_WEST>0350,JAL_STAGEII,,,
71,202128,117,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202128,204,JAL_EAST>0350,JAL_STAGEII,,,
74,202128,208,JAL_WINIL,JAL_STAGEII,,,
137,202128,375,JAL_TEXAS,JAL_STAGEIV,,,
97,202128,394,JAL_TEXAS,JAL_STAGEIII,,,
72,202128,601,JAL_TEXAS>1,JAL_STAGEII,,,
143,202129,1559,JAL_AWARENESS,JAL_STAGEIV,,,
118,202129,1549,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202129,294,JAL_FLORIDA,JAL_STAGEII,,,
136,202129,785,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202129,738,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202129,1152,JAL_CALI>1,JAL_STAGEII,,,
77,202129,146,JAL_CENTER>0350,JAL_STAGEII,,,
141,202129,268,JAL_NAC,JAL_STAGEIV,,,
98,202129,274,JAL_WEST,JAL_STAGEIII,,,
76,202129,648,JAL_WEST>0350,JAL_STAGEII,,,
71,202129,127,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202129,170,JAL_EAST>0350,JAL_STAGEII,,,
74,202129,186,JAL_WINIL,JAL_STAGEII,,,
137,202129,393,JAL_TEXAS,JAL_STAGEIV,,,
97,202129,439,JAL_TEXAS,JAL_STAGEIII,,,
72,202129,628,JAL_TEXAS>1,JAL_STAGEII,,,
143,202130,1385,JAL_AWARENESS,JAL_STAGEIV,,,
118,202130,1416,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202130,287,JAL_FLORIDA,JAL_STAGEII,,,
136,202130,743,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202130,699,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202130,1055,JAL_CALI>1,JAL_STAGEII,,,
77,202130,131,JAL_CENTER>0350,JAL_STAGEII,,,
141,202130,244,JAL_NAC,JAL_STAGEIV,,,
98,202130,255,JAL_WEST,JAL_STAGEIII,,,
76,202130,563,JAL_WEST>0350,JAL_STAGEII,,,
71,202130,93,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202130,183,JAL_EAST>0350,JAL_STAGEII,,,
74,202130,154,JAL_WINIL,JAL_STAGEII,,,
137,202130,396,JAL_TEXAS,JAL_STAGEIV,,,
97,202130,431,JAL_TEXAS,JAL_STAGEIII,,,
72,202130,631,JAL_TEXAS>1,JAL_STAGEII,,,
143,202131,1508,JAL_AWARENESS,JAL_STAGEIV,,,
118,202131,1496,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202131,312,JAL_FLORIDA,JAL_STAGEII,,,
136,202131,847,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202131,808,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202131,1209,JAL_CALI>1,JAL_STAGEII,,,
77,202131,127,JAL_CENTER>0350,JAL_STAGEII,,,
141,202131,248,JAL_NAC,JAL_STAGEIV,,,
98,202131,298,JAL_WEST,JAL_STAGEIII,,,
76,202131,612,JAL_WEST>0350,JAL_STAGEII,,,
71,202131,99,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202131,200,JAL_EAST>0350,JAL_STAGEII,,,
74,202131,198,JAL_WINIL,JAL_STAGEII,,,
137,202131,345,JAL_TEXAS,JAL_STAGEIV,,,
97,202131,384,JAL_TEXAS,JAL_STAGEIII,,,
72,202131,582,JAL_TEXAS>1,JAL_STAGEII,,,
143,202132,1594,JAL_AWARENESS,JAL_STAGEIV,,,
118,202132,1596,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202132,355,JAL_FLORIDA,JAL_STAGEII,,,
136,202132,840,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202132,786,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202132,1199,JAL_CALI>1,JAL_STAGEII,,,
77,202132,133,JAL_CENTER>0350,JAL_STAGEII,,,
141,202132,300,JAL_NAC,JAL_STAGEIV,,,
98,202132,335,JAL_WEST,JAL_STAGEIII,,,
76,202132,673,JAL_WEST>0350,JAL_STAGEII,,,
71,202132,110,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202132,190,JAL_EAST>0350,JAL_STAGEII,,,
74,202132,217,JAL_WINIL,JAL_STAGEII,,,
137,202132,356,JAL_TEXAS,JAL_STAGEIV,,,
97,202132,406,JAL_TEXAS,JAL_STAGEIII,,,
72,202132,635,JAL_TEXAS>1,JAL_STAGEII,,,
143,202133,1663,JAL_AWARENESS,JAL_STAGEIV,,,
118,202133,1650,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202133,309,JAL_FLORIDA,JAL_STAGEII,,,
136,202133,783,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202133,760,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202133,1184,JAL_CALI>1,JAL_STAGEII,,,
77,202133,139,JAL_CENTER>0350,JAL_STAGEII,,,
141,202133,238,JAL_NAC,JAL_STAGEIV,,,
98,202133,275,JAL_WEST,JAL_STAGEIII,,,
76,202133,655,JAL_WEST>0350,JAL_STAGEII,,,
71,202133,128,JAL_TEXAS<=1,JAL_STAGEII,,,
78,202133,202,JAL_EAST>0350,JAL_STAGEII,,,
74,202133,181,JAL_WINIL,JAL_STAGEII,,,
137,202133,438,JAL_TEXAS,JAL_STAGEIV,,,
97,202133,452,JAL_TEXAS,JAL_STAGEIII,,,
72,202133,713,JAL_TEXAS>1,JAL_STAGEII,,,
143,202134,1519,JAL_AWARENESS,JAL_STAGEIV,,,
118,202134,1588,JAL_ALLTHEREST,JAL_STAGEIII,,,
73,202134,353,JAL_FLORIDA,JAL_STAGEII,,,
136,202134,742,JAL_CALIFORNIA,JAL_STAGEIV,,,
96,202134,706,JAL_CALIFORNIA,JAL_STAGEIII,,,
70,202134,1123,JAL_CALI>1,JAL_STAGEII,,,
77,202134,154,JAL_CENTER>0350,JAL_STAGEII,,,
141,202134,309,JAL_NAC,JAL_STAGEIV,,,
